epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9112,1.50373,2.05827,1.51343,0.57485,0.51853,0.4886,0.2329,1.64437,2.0185,1.80483,0.000664251,0.000664251,0.000664251
2,70.1848,1.67749,1.94836,1.66068,0.54014,0.40297,0.39173,0.17433,1.93967,2.06245,1.99184,0.00131774,0.00131774,0.00131774
3,100.642,1.72691,1.94765,1.71559,0.49831,0.40427,0.40058,0.18415,1.95811,1.99968,2.05954,0.00195803,0.00195803,0.00195803
4,130.93,1.68458,1.87812,1.68994,0.61818,0.51826,0.55641,0.27412,1.66625,1.69463,1.78373,0.0019406,0.0019406,0.0019406
5,161.839,1.61845,1.78853,1.64329,0.63527,0.5447,0.5731,0.28299,1.64947,1.5981,1.73107,0.0019208,0.0019208,0.0019208
6,192.069,1.58931,1.73281,1.61071,0.68022,0.4915,0.55118,0.28703,1.65423,1.65504,1.79496,0.001901,0.001901,0.001901
7,222.336,1.55118,1.66937,1.59804,0.63739,0.55604,0.58905,0.31617,1.53345,1.49445,1.65416,0.0018812,0.0018812,0.0018812
8,253.221,1.53681,1.61906,1.56327,0.69637,0.59616,0.65202,0.35401,1.49276,1.4347,1.60239,0.0018614,0.0018614,0.0018614
9,283.273,1.49408,1.57697,1.54134,0.70896,0.58613,0.65979,0.36195,1.51446,1.34008,1.60908,0.0018416,0.0018416,0.0018416
10,313.536,1.45726,1.52613,1.51838,0.70529,0.51853,0.60931,0.33469,1.55034,1.45735,1.65271,0.0018218,0.0018218,0.0018218
11,343.722,1.44755,1.50459,1.51214,0.71831,0.62721,0.7001,0.40037,1.4263,1.23918,1.55266,0.001802,0.001802,0.001802
12,373.806,1.42077,1.44021,1.49809,0.75432,0.60881,0.69954,0.39952,1.42847,1.26347,1.56643,0.0017822,0.0017822,0.0017822
13,403.991,1.40948,1.41992,1.48129,0.688,0.61012,0.65888,0.38133,1.44086,1.27688,1.57356,0.0017624,0.0017624,0.0017624
14,433.922,1.3985,1.41633,1.48161,0.71903,0.63498,0.69675,0.40009,1.41651,1.24042,1.53005,0.0017426,0.0017426,0.0017426
15,463.888,1.39841,1.38911,1.45876,0.72858,0.62189,0.6913,0.40004,1.43355,1.22311,1.53756,0.0017228,0.0017228,0.0017228
16,493.762,1.38184,1.35999,1.45181,0.75212,0.62146,0.70156,0.38938,1.47204,1.19054,1.57309,0.001703,0.001703,0.001703
17,523.853,1.36214,1.32963,1.44445,0.75864,0.6232,0.7151,0.42072,1.39275,1.19519,1.49429,0.0016832,0.0016832,0.0016832
18,553.836,1.34885,1.30637,1.42474,0.77903,0.63803,0.71897,0.42369,1.37788,1.16285,1.48984,0.0016634,0.0016634,0.0016634
19,583.764,1.34091,1.30471,1.4218,0.7674,0.67423,0.75123,0.45257,1.35565,1.09156,1.46194,0.0016436,0.0016436,0.0016436
20,613.863,1.33064,1.26943,1.40996,0.72094,0.64334,0.70966,0.42398,1.34817,1.17297,1.46423,0.0016238,0.0016238,0.0016238
21,643.897,1.3402,1.29001,1.4199,0.75187,0.6642,0.73803,0.43874,1.35404,1.09085,1.46762,0.001604,0.001604,0.001604
22,674.357,1.3116,1.25759,1.40682,0.78138,0.65935,0.74512,0.43933,1.37005,1.11446,1.50726,0.0015842,0.0015842,0.0015842
23,704.125,1.29464,1.22127,1.3942,0.76695,0.63004,0.71997,0.42383,1.37217,1.11144,1.49134,0.0015644,0.0015644,0.0015644
24,734.101,1.28881,1.20851,1.38582,0.74441,0.64457,0.71833,0.42671,1.35246,1.14673,1.48581,0.0015446,0.0015446,0.0015446
25,763.858,1.29597,1.22808,1.39009,0.78125,0.64239,0.73494,0.44324,1.32762,1.11271,1.46031,0.0015248,0.0015248,0.0015248
26,793.922,1.27839,1.19886,1.37572,0.78825,0.65155,0.75181,0.4653,1.28664,1.05433,1.4281,0.001505,0.001505,0.001505
27,823.503,1.28577,1.18289,1.37314,0.78888,0.66768,0.75628,0.4534,1.32256,1.04747,1.44036,0.0014852,0.0014852,0.0014852
28,853.479,1.25789,1.18911,1.3664,0.75361,0.68295,0.74161,0.45596,1.29428,1.07297,1.42319,0.0014654,0.0014654,0.0014654
29,883.34,1.26237,1.16126,1.36163,0.77273,0.66289,0.74365,0.4502,1.33747,1.06145,1.45766,0.0014456,0.0014456,0.0014456
30,913.308,1.2539,1.13777,1.35182,0.78646,0.67248,0.75548,0.4702,1.29038,1.01123,1.4192,0.0014258,0.0014258,0.0014258
31,943.145,1.22635,1.12146,1.33993,0.79167,0.67286,0.76118,0.4721,1.27222,1.00757,1.41874,0.001406,0.001406,0.001406
32,973.38,1.25937,1.14838,1.34581,0.81033,0.65722,0.76024,0.47215,1.29682,1.00897,1.43217,0.0013862,0.0013862,0.0013862
33,1003.53,1.24871,1.13632,1.33554,0.77897,0.6855,0.77193,0.47794,1.25986,0.99696,1.38524,0.0013664,0.0013664,0.0013664
34,1033.74,1.22422,1.11317,1.33313,0.8082,0.68177,0.76993,0.4688,1.29001,0.99226,1.44416,0.0013466,0.0013466,0.0013466
35,1064.03,1.21222,1.0995,1.32466,0.80375,0.68251,0.76702,0.47532,1.25963,1.00031,1.40631,0.0013268,0.0013268,0.0013268
36,1093.95,1.21847,1.10173,1.32557,0.81709,0.68513,0.77923,0.48258,1.25193,0.97533,1.39533,0.001307,0.001307,0.001307
37,1123.74,1.20091,1.07834,1.31614,0.78673,0.66638,0.76166,0.46784,1.28903,1.02484,1.41782,0.0012872,0.0012872,0.0012872
38,1153.21,1.20349,1.08526,1.32152,0.82611,0.68426,0.78648,0.49189,1.24464,0.95021,1.37085,0.0012674,0.0012674,0.0012674
39,1182.84,1.18153,1.0619,1.30745,0.82275,0.67684,0.77002,0.48093,1.27383,0.96922,1.40544,0.0012476,0.0012476,0.0012476
40,1212.33,1.18564,1.05917,1.30574,0.8096,0.70214,0.78629,0.49274,1.2452,0.9387,1.38488,0.0012278,0.0012278,0.0012278
41,1242.21,1.17958,1.04414,1.29951,0.77577,0.69255,0.76845,0.47763,1.25476,0.982,1.37951,0.001208,0.001208,0.001208
42,1272.18,1.18064,1.0483,1.29529,0.81736,0.68382,0.78112,0.48638,1.25191,0.96769,1.38033,0.0011882,0.0011882,0.0011882
43,1302.33,1.16922,1.02386,1.29002,0.81429,0.69603,0.78496,0.49928,1.21581,0.91865,1.35941,0.0011684,0.0011684,0.0011684
44,1332.97,1.17355,1.01836,1.29028,0.81071,0.67241,0.76734,0.48213,1.258,0.97366,1.39402,0.0011486,0.0011486,0.0011486
45,1362.76,1.15704,1.0117,1.28132,0.80722,0.67859,0.77457,0.48352,1.24425,0.97586,1.38073,0.0011288,0.0011288,0.0011288
46,1392.63,1.15336,1.00742,1.28262,0.80319,0.67811,0.77544,0.48987,1.23113,0.95383,1.38516,0.001109,0.001109,0.001109
47,1422.38,1.15197,1.00168,1.28101,0.801,0.68109,0.77316,0.48858,1.25702,0.95489,1.39508,0.0010892,0.0010892,0.0010892
48,1452.24,1.14658,1.00584,1.28472,0.81536,0.69328,0.79123,0.50112,1.22241,0.92751,1.36325,0.0010694,0.0010694,0.0010694
49,1482.22,1.13567,0.98896,1.2762,0.82059,0.70039,0.78836,0.49813,1.23072,0.92702,1.3643,0.0010496,0.0010496,0.0010496
50,1512.4,1.13685,0.97628,1.26726,0.82949,0.69778,0.79053,0.4963,1.23918,0.92097,1.36374,0.0010298,0.0010298,0.0010298
51,1542.59,1.10736,0.9635,1.26173,0.83415,0.6908,0.79227,0.50538,1.20896,0.90969,1.35556,0.00101,0.00101,0.00101
52,1573.02,1.11718,0.94954,1.25301,0.8241,0.69821,0.79067,0.49907,1.22525,0.9172,1.36764,0.0009902,0.0009902,0.0009902
53,1603.63,1.11621,0.95661,1.25695,0.80476,0.70955,0.78792,0.49733,1.23289,0.91469,1.37569,0.0009704,0.0009704,0.0009704
