epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.7483,1.31898,1.97556,1.42082,0.85871,0.72904,0.79581,0.50174,1.1324,1.2299,1.31774,0.000474207,0.000474207,0.000474207
2,174.9,1.20261,1.22488,1.30795,0.88339,0.743,0.82958,0.50124,1.222,0.9357,1.45237,0.00094113,0.00094113,0.00094113
3,256.69,1.19383,1.07805,1.30319,0.85567,0.74575,0.79996,0.49321,1.22469,0.92234,1.42021,0.00139862,0.00139862,0.00139862
4,340.223,1.17041,0.97315,1.29321,0.87084,0.76217,0.83619,0.52509,1.15204,0.79722,1.35575,0.00138656,0.00138656,0.00138656
5,421.219,1.14452,0.89713,1.26862,0.88042,0.81644,0.85382,0.54271,1.10428,0.73086,1.30915,0.00137241,0.00137241,0.00137241
6,503.24,1.13287,0.8519,1.26921,0.88306,0.78454,0.84646,0.54983,1.06091,0.75357,1.26675,0.00135826,0.00135826,0.00135826
7,584.592,1.10753,0.82281,1.24692,0.91862,0.8081,0.88451,0.58661,1.01269,0.62978,1.22713,0.00134412,0.00134412,0.00134412
8,664.331,1.10842,0.7806,1.24396,0.91132,0.80227,0.87318,0.57431,1.05822,0.65007,1.27757,0.00132997,0.00132997,0.00132997
9,747.41,1.0873,0.76459,1.23157,0.89066,0.81383,0.86837,0.57035,1.10062,0.66121,1.31791,0.00131582,0.00131582,0.00131582
10,828.56,1.07657,0.74306,1.22241,0.91247,0.80046,0.87677,0.57274,1.09454,0.65216,1.29387,0.00130168,0.00130168,0.00130168
11,910.377,1.08385,0.7311,1.22473,0.91437,0.80896,0.87684,0.56401,1.08811,0.63441,1.26922,0.00128753,0.00128753,0.00128753
12,996.732,1.07173,0.72847,1.22043,0.88925,0.83919,0.88263,0.58045,1.04231,0.62327,1.26103,0.00127338,0.00127338,0.00127338
13,1079.03,1.05885,0.70871,1.21209,0.91366,0.83461,0.89329,0.59783,1.02221,0.61421,1.2609,0.00125923,0.00125923,0.00125923
14,1161.05,1.06118,0.69054,1.20982,0.91001,0.81096,0.87465,0.58231,1.0121,0.62045,1.23324,0.00124509,0.00124509,0.00124509
15,1244.59,1.05439,0.69906,1.20785,0.90072,0.81798,0.88904,0.58532,1.01106,0.58684,1.21395,0.00123094,0.00123094,0.00123094
16,1325.06,1.0337,0.66366,1.19445,0.91156,0.81166,0.88809,0.57592,1.05315,0.61286,1.27935,0.00121679,0.00121679,0.00121679
17,1405.61,1.0247,0.67181,1.19844,0.8954,0.8371,0.88594,0.58718,1.04106,0.57427,1.26635,0.00120265,0.00120265,0.00120265
18,1489.86,1.03055,0.65535,1.19395,0.92563,0.82168,0.89327,0.58877,1.03557,0.5867,1.24005,0.0011885,0.0011885,0.0011885
19,1571.69,1.0242,0.66013,1.1915,0.90521,0.85281,0.90205,0.58804,1.00435,0.56616,1.21939,0.00117435,0.00117435,0.00117435
20,1655.51,1.01781,0.64163,1.17339,0.90342,0.80855,0.88625,0.58979,1.01823,0.58641,1.21519,0.00116021,0.00116021,0.00116021
21,1736.52,1.01457,0.64067,1.18217,0.8938,0.83658,0.89368,0.59679,0.9946,0.55514,1.20503,0.00114606,0.00114606,0.00114606
22,1815.8,1.00863,0.62829,1.18002,0.90927,0.84236,0.9021,0.59916,1.00705,0.55381,1.21956,0.00113191,0.00113191,0.00113191
