epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.14,1.51818,2.19021,1.53625,0.54976,0.46707,0.49197,0.22541,1.72479,1.98144,1.83714,0.000664251,0.000664251,0.000664251
2,85.1429,1.725,2.03894,1.70615,0.38651,0.2874,0.24587,0.09634,2.22498,2.7522,2.3692,0.00131774,0.00131774,0.00131774
3,121.895,1.76865,2.01942,1.75722,0.47329,0.4239,0.40444,0.17387,1.90064,2.31031,2.02507,0.00195803,0.00195803,0.00195803
4,158.384,1.7438,1.9566,1.73545,0.51852,0.48932,0.47215,0.2198,1.72295,1.89849,1.84774,0.0019406,0.0019406,0.0019406
5,194.852,1.68312,1.83857,1.68248,0.52692,0.38509,0.39784,0.18125,1.88425,2.51872,2.04053,0.0019208,0.0019208,0.0019208
6,231.028,1.63748,1.78228,1.65039,0.66913,0.50096,0.56604,0.29142,1.63283,1.65225,1.78807,0.001901,0.001901,0.001901
7,267.135,1.59638,1.71877,1.62752,0.58357,0.56127,0.58126,0.29175,1.62549,1.56136,1.73748,0.0018812,0.0018812,0.0018812
8,302.984,1.57396,1.67367,1.59952,0.66885,0.53554,0.60101,0.32361,1.57424,1.43452,1.71128,0.0018614,0.0018614,0.0018614
9,338.687,1.53635,1.6115,1.56303,0.72828,0.5973,0.67918,0.36912,1.48746,1.33043,1.58894,0.0018416,0.0018416,0.0018416
10,374.802,1.5047,1.57177,1.54298,0.73387,0.57218,0.65945,0.36275,1.52237,1.32378,1.64055,0.0018218,0.0018218,0.0018218
11,410.437,1.48933,1.53881,1.53748,0.70136,0.60427,0.67279,0.37271,1.49392,1.27174,1.60493,0.001802,0.001802,0.001802
12,446.416,1.46436,1.48948,1.52712,0.74221,0.5857,0.67329,0.37517,1.48062,1.26805,1.59604,0.0017822,0.0017822,0.0017822
13,482.292,1.46063,1.47776,1.50539,0.68862,0.56127,0.62921,0.34865,1.50912,1.40819,1.6493,0.0017624,0.0017624,0.0017624
