epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1005,1.29214,1.88505,1.40636,0.86406,0.77039,0.82837,0.5379,1.05527,1.03394,1.27237,0.000474207,0.000474207,0.000474207
2,51.7011,1.1848,1.18622,1.29668,0.88539,0.77782,0.84962,0.52674,1.15802,0.84662,1.35334,0.00094113,0.00094113,0.00094113
3,74.621,1.17141,1.01877,1.28818,0.88633,0.7692,0.84192,0.54042,1.10116,0.82263,1.30546,0.00139862,0.00139862,0.00139862
4,97.2,1.14816,0.91986,1.27475,0.87279,0.79396,0.8609,0.51466,1.14511,0.82372,1.30253,0.00138656,0.00138656,0.00138656
5,120.003,1.15277,0.87556,1.26713,0.87833,0.82056,0.86399,0.54973,1.07235,0.68742,1.26811,0.00137241,0.00137241,0.00137241
6,142.642,1.11014,0.81359,1.25077,0.91349,0.80687,0.8806,0.55993,1.07271,0.66858,1.25882,0.00135826,0.00135826,0.00135826
7,165.382,1.08693,0.78137,1.23544,0.89416,0.8005,0.87813,0.56355,1.12857,0.68988,1.31773,0.00134412,0.00134412,0.00134412
8,187.868,1.08019,0.75878,1.22733,0.88215,0.81334,0.88086,0.57826,1.02639,0.62744,1.23097,0.00132997,0.00132997,0.00132997
9,210.405,1.066,0.73059,1.21525,0.92341,0.82037,0.896,0.59638,0.9947,0.60632,1.21674,0.00131582,0.00131582,0.00131582
10,232.763,1.06398,0.72507,1.21277,0.90863,0.83276,0.89472,0.59578,1.01108,0.61751,1.22942,0.00130168,0.00130168,0.00130168
11,255.204,1.06898,0.70771,1.20733,0.91601,0.82845,0.89649,0.59478,1.01282,0.62164,1.23037,0.00128753,0.00128753,0.00128753
12,277.839,1.02656,0.68866,1.20158,0.89191,0.84231,0.89274,0.59301,1.01784,0.65601,1.22427,0.00127338,0.00127338,0.00127338
13,300.497,1.03656,0.67782,1.19593,0.88926,0.86964,0.9051,0.60389,1.01982,0.57505,1.22834,0.00125923,0.00125923,0.00125923
14,323.078,1.03797,0.6577,1.1919,0.93174,0.83872,0.90799,0.60263,1.02004,0.55915,1.22922,0.00124509,0.00124509,0.00124509
15,345.687,1.00399,0.63846,1.18384,0.91648,0.84185,0.90496,0.59857,1.0036,0.56947,1.21562,0.00123094,0.00123094,0.00123094
16,368.346,1.02539,0.653,1.19187,0.91328,0.8422,0.9089,0.60069,1.02213,0.56041,1.23929,0.00121679,0.00121679,0.00121679
17,390.979,1.00667,0.63559,1.17854,0.903,0.83929,0.90259,0.59972,1.01076,0.62264,1.22099,0.00120265,0.00120265,0.00120265
18,413.395,1.00302,0.63893,1.17767,0.90886,0.86676,0.92405,0.6164,0.99467,0.54954,1.20693,0.0011885,0.0011885,0.0011885
19,436.076,0.9887,0.61734,1.16971,0.92528,0.8437,0.90706,0.60364,1.01319,0.56065,1.22851,0.00117435,0.00117435,0.00117435
20,458.502,0.99773,0.61287,1.16933,0.90906,0.85981,0.91392,0.61421,1.00406,0.53841,1.21466,0.00116021,0.00116021,0.00116021
21,481.199,1.00555,0.61955,1.17578,0.91577,0.84726,0.90602,0.59646,1.02893,0.55449,1.22878,0.00114606,0.00114606,0.00114606
22,503.749,0.96886,0.59863,1.15539,0.90681,0.86046,0.90986,0.60849,0.96803,0.54101,1.18901,0.00113191,0.00113191,0.00113191
23,526.336,0.96118,0.58797,1.15659,0.92503,0.84939,0.91184,0.6004,1.02403,0.54702,1.21107,0.00111776,0.00111776,0.00111776
24,548.678,0.95326,0.57117,1.14725,0.90911,0.86463,0.90532,0.59944,1.02216,0.53697,1.22366,0.00110362,0.00110362,0.00110362
25,571.401,0.96142,0.58327,1.14848,0.91825,0.85554,0.91434,0.60368,1.03693,0.53948,1.2341,0.00108947,0.00108947,0.00108947
26,593.96,0.96772,0.57215,1.13953,0.92012,0.84545,0.91503,0.60147,1.01248,0.52917,1.20291,0.00107532,0.00107532,0.00107532
27,616.56,0.94112,0.56904,1.13354,0.91389,0.8668,0.91568,0.6148,1.00455,0.52307,1.20451,0.00106118,0.00106118,0.00106118
28,639.284,0.93306,0.5611,1.13262,0.91192,0.87339,0.91764,0.61795,0.9655,0.51157,1.18897,0.00104703,0.00104703,0.00104703
29,661.775,0.94478,0.55813,1.13445,0.93505,0.85315,0.9244,0.60784,1.01168,0.51927,1.24353,0.00103288,0.00103288,0.00103288
30,684.344,0.93734,0.55678,1.12893,0.90964,0.86532,0.91538,0.59211,1.02492,0.51234,1.2256,0.00101873,0.00101873,0.00101873
31,706.804,0.92161,0.55096,1.13343,0.88701,0.87421,0.90974,0.59633,1.02074,0.52211,1.21286,0.00100459,0.00100459,0.00100459
32,729.452,0.9237,0.54203,1.11504,0.93211,0.85068,0.92149,0.61987,0.97951,0.49407,1.18693,0.00099044,0.00099044,0.00099044
33,751.911,0.92784,0.54377,1.11778,0.92156,0.86981,0.91718,0.62554,0.9773,0.53444,1.19991,0.000976293,0.000976293,0.000976293
34,774.52,0.90888,0.53694,1.12003,0.88533,0.88879,0.92673,0.62624,0.9701,0.49514,1.18626,0.000962146,0.000962146,0.000962146
35,797.233,0.89734,0.52377,1.11191,0.91735,0.86642,0.91608,0.60949,1.00621,0.48446,1.20622,0.000947999,0.000947999,0.000947999
36,819.658,0.9198,0.53708,1.11674,0.9062,0.86683,0.91364,0.60289,1.0069,0.51953,1.20506,0.000933851,0.000933851,0.000933851
37,842.182,0.90059,0.52697,1.10447,0.91834,0.85381,0.91158,0.59458,1.02864,0.52365,1.2292,0.000919704,0.000919704,0.000919704
38,864.656,0.8901,0.51349,1.10957,0.93016,0.85527,0.91881,0.60876,1.02165,0.50173,1.22183,0.000905557,0.000905557,0.000905557
39,887.182,0.88425,0.51437,1.10429,0.92514,0.87133,0.91785,0.60689,1.00908,0.51243,1.22286,0.00089141,0.00089141,0.00089141
40,909.694,0.91142,0.52885,1.10856,0.92453,0.85985,0.92034,0.62216,1.00576,0.50463,1.2176,0.000877263,0.000877263,0.000877263
41,932.259,0.89467,0.51953,1.10523,0.92523,0.86424,0.92037,0.60475,1.01163,0.50348,1.2088,0.000863116,0.000863116,0.000863116
42,954.632,0.86707,0.50332,1.09257,0.91162,0.87175,0.91932,0.60923,0.99154,0.4845,1.19959,0.000848969,0.000848969,0.000848969
43,977.418,0.87314,0.50734,1.09786,0.90679,0.87307,0.91942,0.60216,1.01121,0.49259,1.22011,0.000834822,0.000834822,0.000834822
44,1000.03,0.86456,0.49894,1.08602,0.91819,0.87459,0.92286,0.6102,1.00419,0.48497,1.21412,0.000820675,0.000820675,0.000820675
45,1022.81,0.86034,0.49148,1.09431,0.90532,0.88591,0.92449,0.59703,1.0509,0.50455,1.23431,0.000806528,0.000806528,0.000806528
46,1045.45,0.87338,0.50037,1.08922,0.91587,0.87828,0.9209,0.60968,1.02658,0.50539,1.22338,0.00079238,0.00079238,0.00079238
47,1067.79,0.86959,0.49444,1.089,0.92331,0.86333,0.91944,0.61223,0.99385,0.49138,1.2039,0.000778233,0.000778233,0.000778233
48,1090.09,0.84944,0.4853,1.07743,0.93414,0.87483,0.92497,0.61805,1.01797,0.50781,1.22681,0.000764086,0.000764086,0.000764086
49,1112.68,0.83898,0.47923,1.07695,0.89111,0.88694,0.92179,0.60395,1.01666,0.49549,1.2285,0.000749939,0.000749939,0.000749939
50,1135.38,0.84092,0.47291,1.0741,0.9095,0.87267,0.91586,0.59957,1.03604,0.50562,1.22331,0.000735792,0.000735792,0.000735792
51,1158.05,0.83677,0.47347,1.06835,0.91934,0.88468,0.92646,0.61896,1.01362,0.47546,1.23105,0.000721645,0.000721645,0.000721645
52,1180.89,0.84159,0.47588,1.07252,0.9211,0.8664,0.91034,0.59016,1.04331,0.50449,1.24519,0.000707498,0.000707498,0.000707498
53,1203.53,0.81988,0.47014,1.07268,0.92537,0.85606,0.92,0.59972,1.03702,0.50303,1.24984,0.000693351,0.000693351,0.000693351
54,1226.04,0.8272,0.46542,1.05941,0.91235,0.88075,0.92477,0.60985,1.02942,0.49363,1.23392,0.000679204,0.000679204,0.000679204
55,1248.59,0.81693,0.45548,1.06319,0.90518,0.86392,0.9143,0.6034,1.03594,0.49479,1.2418,0.000665057,0.000665057,0.000665057
56,1271.19,0.81894,0.4565,1.0688,0.91833,0.85353,0.91627,0.60704,1.01114,0.48545,1.22732,0.000650909,0.000650909,0.000650909
57,1293.78,0.80561,0.45609,1.05534,0.92411,0.8681,0.92157,0.60428,1.0247,0.49439,1.22583,0.000636762,0.000636762,0.000636762
58,1316.14,0.81559,0.45008,1.05306,0.92687,0.85892,0.91554,0.60292,1.02084,0.47367,1.2376,0.000622615,0.000622615,0.000622615
59,1338.8,0.80247,0.44772,1.05863,0.93735,0.86209,0.92533,0.61429,1.00133,0.48912,1.22315,0.000608468,0.000608468,0.000608468
60,1361.33,0.80255,0.44827,1.04737,0.92571,0.86684,0.9249,0.61144,1.01567,0.4737,1.22647,0.000594321,0.000594321,0.000594321
61,1383.88,0.79795,0.452,1.05288,0.92588,0.86084,0.92232,0.61664,0.99165,0.47993,1.21754,0.000580174,0.000580174,0.000580174
62,1406.41,0.79256,0.44038,1.04851,0.91961,0.86354,0.91428,0.60199,1.02458,0.48941,1.23986,0.000566027,0.000566027,0.000566027
63,1429.02,0.79336,0.44633,1.04557,0.90754,0.86888,0.91731,0.61254,0.99254,0.4778,1.2225,0.00055188,0.00055188,0.00055188
64,1451.67,0.78495,0.44008,1.04336,0.90591,0.87627,0.91977,0.59758,1.01953,0.47493,1.23869,0.000537733,0.000537733,0.000537733
65,1474.41,0.79347,0.43637,1.05061,0.92591,0.84713,0.91555,0.59404,1.01264,0.50538,1.24364,0.000523586,0.000523586,0.000523586
66,1497.1,0.7629,0.42852,1.03967,0.92494,0.86431,0.91789,0.61287,0.99097,0.47866,1.22502,0.000509438,0.000509438,0.000509438
67,1519.76,0.78999,0.43989,1.04172,0.91103,0.86691,0.92214,0.60647,1.01074,0.49416,1.25665,0.000495291,0.000495291,0.000495291
68,1542.47,0.77494,0.43429,1.03798,0.91978,0.86014,0.91908,0.61748,0.99207,0.49412,1.2306,0.000481144,0.000481144,0.000481144
69,1564.82,0.76529,0.42422,1.0327,0.92082,0.85828,0.91085,0.60529,1.0037,0.48633,1.2356,0.000466997,0.000466997,0.000466997
70,1587.32,0.75355,0.42008,1.02645,0.90889,0.86549,0.91379,0.60348,1.0033,0.49122,1.2429,0.00045285,0.00045285,0.00045285
71,1610.25,0.77877,0.43368,1.02929,0.92268,0.86942,0.92475,0.61488,1.00029,0.48092,1.24627,0.000438703,0.000438703,0.000438703
72,1632.7,0.76924,0.424,1.0287,0.93229,0.85924,0.92147,0.6134,0.98431,0.46141,1.23914,0.000424556,0.000424556,0.000424556
73,1655.42,0.76313,0.42761,1.03109,0.91036,0.86633,0.91888,0.60343,1.00518,0.48368,1.25023,0.000410409,0.000410409,0.000410409
74,1678.07,0.74755,0.41205,1.0237,0.93687,0.85862,0.91369,0.60271,1.02476,0.48145,1.26068,0.000396262,0.000396262,0.000396262
75,1700.75,0.7471,0.41945,1.02349,0.94004,0.8498,0.91821,0.60482,1.01027,0.48381,1.24556,0.000382115,0.000382115,0.000382115
76,1723.31,0.74061,0.41251,1.02198,0.92411,0.86627,0.9199,0.60568,1.01244,0.47312,1.26254,0.000367967,0.000367967,0.000367967
77,1746,0.74179,0.40985,1.01805,0.92124,0.86005,0.91475,0.61014,1.00764,0.48286,1.2489,0.00035382,0.00035382,0.00035382
78,1768.58,0.72359,0.40245,1.01306,0.9334,0.84628,0.91661,0.60755,1.00251,0.49325,1.24516,0.000339673,0.000339673,0.000339673
79,1791.15,0.7312,0.4045,1.00915,0.93836,0.84984,0.9184,0.60601,1.00402,0.47585,1.24001,0.000325526,0.000325526,0.000325526
80,1813.68,0.73117,0.40602,1.01617,0.94301,0.84245,0.91777,0.61056,1.01787,0.48701,1.25206,0.000311379,0.000311379,0.000311379
81,1836.2,0.73037,0.40096,1.01538,0.90978,0.86983,0.91621,0.60612,1.00402,0.49038,1.25604,0.000297232,0.000297232,0.000297232
82,1858.79,0.71593,0.3956,1.00498,0.91713,0.86764,0.92049,0.59939,1.0242,0.48356,1.28086,0.000283085,0.000283085,0.000283085
83,1881.43,0.71202,0.38932,1.00364,0.93527,0.863,0.92416,0.6032,1.00892,0.47897,1.26281,0.000268938,0.000268938,0.000268938
84,1903.82,0.72236,0.3957,1.00889,0.92534,0.86221,0.91771,0.60347,1.00986,0.49314,1.26946,0.000254791,0.000254791,0.000254791
85,1926.54,0.71711,0.39716,1.00817,0.92798,0.85353,0.9167,0.60599,1.00292,0.48861,1.25905,0.000240644,0.000240644,0.000240644
86,1949,0.71893,0.39504,1.01053,0.92325,0.86084,0.91566,0.61222,0.99326,0.4838,1.25516,0.000226497,0.000226497,0.000226497
87,1971.71,0.71311,0.39139,1.00147,0.9266,0.86243,0.9144,0.61177,0.99476,0.48481,1.25671,0.000212349,0.000212349,0.000212349
88,1994.42,0.69391,0.37865,0.99761,0.92467,0.86344,0.91795,0.60979,0.98866,0.47805,1.26078,0.000198202,0.000198202,0.000198202
89,2016.94,0.7175,0.39266,0.99516,0.9419,0.84725,0.91465,0.61049,0.98935,0.48041,1.26141,0.000184055,0.000184055,0.000184055
90,2039.38,0.69046,0.38172,1.00069,0.93401,0.85817,0.91368,0.60704,0.99401,0.48605,1.25807,0.000169908,0.000169908,0.000169908
91,2062.84,0.69553,0.35239,0.98497,0.92212,0.84831,0.90987,0.6046,1.00273,0.48351,1.2735,0.000155761,0.000155761,0.000155761
92,2085.26,0.6757,0.34119,0.97275,0.93624,0.8391,0.91209,0.60366,1.00807,0.48889,1.28024,0.000141614,0.000141614,0.000141614
93,2107.59,0.67178,0.33472,0.97203,0.92702,0.84119,0.90876,0.60574,1.01423,0.49331,1.28412,0.000127467,0.000127467,0.000127467
94,2129.79,0.66211,0.33189,0.97305,0.91526,0.85248,0.90877,0.60112,1.0161,0.48808,1.28814,0.00011332,0.00011332,0.00011332
95,2152.14,0.65951,0.32638,0.97128,0.90819,0.86343,0.91056,0.60809,1.00414,0.48443,1.28382,9.91726e-05,9.91726e-05,9.91726e-05
96,2174.19,0.65717,0.32931,0.96775,0.9157,0.85991,0.91191,0.60528,1.00825,0.48816,1.29557,8.50255e-05,8.50255e-05,8.50255e-05
97,2196.34,0.65072,0.32604,0.96087,0.93824,0.84253,0.91118,0.60475,1.01154,0.49153,1.30083,7.08784e-05,7.08784e-05,7.08784e-05
98,2218.66,0.64665,0.32531,0.95827,0.9207,0.85619,0.90999,0.60361,1.00758,0.49208,1.2991,5.67313e-05,5.67313e-05,5.67313e-05
99,2240.93,0.64731,0.32355,0.96151,0.93682,0.84582,0.91167,0.6032,1.01099,0.48809,1.30796,4.25842e-05,4.25842e-05,4.25842e-05
100,2263.12,0.64069,0.31966,0.95372,0.93526,0.8459,0.90994,0.60329,1.01047,0.48651,1.30787,2.84371e-05,2.84371e-05,2.84371e-05
